"condit","disper","elytra","mass","chamber","eggnum","eggmass","nummates"
"1","0",8.83,6.38,29.9,74.63,97.58,4
"1","0",5.68,5.31,20.1,62.88,81.75,1
"1","0",8.96,6.57,27.57,75.67,98,4
"1","0",6.66,5.92,22.32,67.63,87.69,2
"1","0",8.93,7.16,22.21,78.45,101.73,3
"1","0",8.32,6.14,28.11,72.86,94.75,4
"1","0",8.42,6.89,28.27,76.92,99.33,7
"1","0",8.07,6.08,21.8,71.01,91.51,1
"1","0",8.87,6.83,23.11,76.57,100.21,4
"1","0",6.82,5.67,21.85,67.5,86.89,1
"1","0",8.26,6.17,26.18,72.51,93.82,2
"1","0",7.42,6.54,21.67,72.61,97.13,4
"1","0",8.78,6.57,27.29,74.42,97.62,3
"1","0",6.72,5.38,23.45,64.64,83.51,4
"1","0",5.21,4.58,25.79,57.88,74.76,1
"1","0",7.43,5.93,32.11,68.95,88.68,3
"1","0",5.02,5.38,20.09,62.11,81.7,2
"1","0",5.34,4.9,24.77,60.97,78.16,0
"1","0",7.64,6.34,19.78,71.24,92.43,3
"1","0",8.88,6.31,25.55,73.68,96.03,1
"1","0",5.81,5.46,18.51,64.22,84.12,2
"1","0",8.95,6.69,28.09,76.67,100.27,0
"1","0",7.42,6.61,25.27,72.81,94.57,5
"1","0",6.76,6.02,29.05,68.46,87.76,4
"1","0",7.6,5.9,24.05,70.27,91.43,2
"1","1",6.18,5.11,28.66,59.44,74.17,1
"1","1",6.16,5.76,19.57,62.98,78.46,2
"1","1",7.79,7.02,23.46,73.12,90.71,0
"1","1",8.16,6.31,26.48,70.24,88.15,6
"1","1",7.54,5.89,31.63,67.25,84.02,1
"1","1",7.8,6.71,26.7,71.35,90.97,2
"1","1",5.68,4.62,25.33,56.28,69.35,2
"1","1",5.35,4.42,20.78,55.41,67.27,2
"1","1",6.28,5.32,23.35,61.05,76.94,3
"1","1",6.5,4.78,27.51,59.33,74.58,2
"1","1",8.72,6.11,29.27,70.84,88.62,6
"1","1",5.21,5.3,18.25,59.75,72.87,0
"1","1",5.96,5.67,27.36,62.55,77.62,0
"1","1",6.43,5.4,26.19,62.1,76.38,1
"1","1",7.54,5.57,26.7,64.76,79.63,1
"1","1",7.59,5.46,22.76,65.39,79.75,5
"1","1",8.09,6.39,30.6,70.3,88.2,5
"1","1",8.09,6.25,23.88,69.45,85.58,4
"1","1",5.55,5.46,20.89,59.21,74.89,3
